complaint,department
Worst road condition not even able to walk properly since past 10 days behind District Veterinary Hospital. High danger.,Roads
Auto drivers refusing to come because of pathetic road condition in Pragati Colony from last 3 days.,Roads
"Kindly fix this problem, freshly laid bituminous surface crumbling within a week on Station Approach Road, Ward 153, poor quality road construction exposed. Please send team as soon as possible.",Roads
Auto drivers refusing to come because of pathetic road condition on Cross Road 4 after last rain.,Roads
"Sir, dangerous speed breaker without white zebra stripes riders getting hurt at Ward 8. Nobody is responding.",Roads
Multiple deep potholes spanning the entire width of lane behind Sub-Registrar Office.,Roads
"Footpath pavers broken, dislodged and jutting out right in front of Civil Court, pedestrians and senior citizens tripping constantly.",Roads
"In Santosh Nagar Ward 161, road has caved in middle of road heavy vehicles getting stuck every evening. Very difficult situation.",Roads
"Sir, recently road was laid now fully broken and stones coming out at Market Four Roads. Nobody is responding.",Roads
Road has caved in middle of road heavy vehicles getting stuck every evening at Ward 161. High danger.,Roads
Large fissure appeared across the lane after minor tremor,Roads
rad suface totly brokn vehicle geting damag ward 120 since 2 days kindly fix,Roads
"Road has caved in middle of road heavy vehicles getting stuck near bus terminus, please take action immediately.",Roads
Entire stretch is totally unmotorable please do tarring work between Vinayaka Nagar and Highway Junction every evening.,Roads
"Due to deep ruts formed by overloaded trucks on hot asphalt at the entry of Gandhi Gram, it is making bike handling extremely unstable.",Roads
Dangerous speed breaker without white zebra stripes riders getting hurt since yesterday at the entry of Surya Nagar Ward 12. High danger.,Roads
"Immediate intervention needed! footpath pavers broken, dislodged and jutting out at the entry of Telecom Colony! It is pedestrians and senior citizens tripping constantly. Immediate action requested.",Roads
Road shoulder eroded into a 2-foot sharp drop-off close to bus terminus.,Roads
Dangerous speed breaker without white zebra stripes riders getting hurt from last 3 days close to fire station. High danger.,Roads
Worst road condition not even able to walk properly outside Muncipal Community Hall since past 10 days.,Roads
"Near auto rickshaw stand, road is fully damaged and full of big potholes. Kindly resolve.",Roads
Plz repair this road immediately bike riders falling daily after last rain in Santosh Nagar. High danger.,Roads
