complaint,department
"Close to mosque corner, pothole depth is more than 1 foot any time major accident can happen. Kindly resolve.",Roads
"Sir, main water pipe is broken drinking water running on road wastefully near public park gate. Nobody is responding.",Water
Dead animal lying on road please send sanitation team to remove along Station Road every evening.,Sanitation
"Complaining for the third time, foul, nauseating stench from illegal poultry processing unit near residential school at the entry of Indira Gandhi Colony, students complaining of severe headaches and vomiting. Please send team as soon as possible.",Public Health
"In Vivekananda Colony Ward 115, people throwing garbage bags on vacant plot creating mini dumpyard since morning. Very difficult situation.",Sanitation
powrcut since 12 hrs no electrsity in ward ward 55 since 2 days kindly fix,Electricity
It is brought to municipal notice that there is a open garbage dump attracting thousands of bluebottle flies entering kitchens near Green Glen Layout main gate. This is cholera and dysentery risk in slum settlement. Kindly take remedial action.,Public Health
"Outside district veterinary hospital, rain water has nowhere to go road becomes a river every small rain. Kindly resolve.",Drainage
"In shastri nagar, road is fully damaged and full of big potholes. Kindly resolve.",Roads
Very serious hazard: broken municipal air release valve spraying drinking water into air in Gandhi Gram! It is surrounding properties getting waterlogged with clean water. Immediate action requested.,Water
spid braker iron rod exposd dangerous for bikes near industrial estate gate Station Road,Roads
Worst road condition not even able to walk properly opposite district library from last 3 days.,Roads
urgent drange is chokd sewag watr floding rad Vivekananda Colony near service road turn,Drainage
"At the entry of vikas enclave, transformer giving big blast sound and sparks falling down. Kindly resolve.",Electricity
spid braker iron rod exposd dangerous for bikes in Surya Nagar Ward 12 ward 109,Roads
"Sir, drinking water is coming dirty and smelling like drainage in Teachers Colony. Nobody is responding.",Water
"Vehicles parked illegally on both sides of road blocking bus movement since morning on GIDC Road, Ward 120. High danger.",Traffic
"Complaining for the third time, overflowing garbage pile blocking access to government school main gate outside Maternity Clinic, students forced to step over rotten food waste to enter. Please send team as soon as possible.",Sanitation
Cemetery boundary wall fell down stray dogs entering graveyard on Church Road since yesterday.,Municipal Services
"Sir, fish market waste thrown on road intolerable rotten stench near flyover landing. Nobody is responding.",Sanitation
"On 100 feet intermediate road, water supply timing is very irregular please give water on fixed schedule. Kindly resolve.",Water
"In Pragati Colony Ward 134, open drain in front of our gate school children can fall inside since past 10 days. Very difficult situation.",Drainage
"Behind esi hospital, water tanker driver demanding extra money and not giving full water. Kindly resolve.",Water
Street light burning in afternoon time and turning off at 7 pm night since morning on College Road. High danger.,Electricity
Phase missing in our house only half lights working please fix fuse outside Co-operative Bank from last 3 days.,Electricity
unhygenic foud stall causng stumach infaction in Pragati Colony ward 144,Public Health
Autos and taxis blocking the entire left turn free lane at Ward 198 from last 3 days.,Traffic
"On service lane, ward 14, auto drivers refusing to come because of pathetic road condition. Kindly resolve.",Roads
Power cut since morning no current in our whole colony outside Kendriya Vidyalaya after last rain.,Electricity
Open electric dp box on road children are playing nearby please lock it since past 10 days at Ward 83. High danger.,Electricity
"Chemical smoke and bad smell coming from factory at night cannot breathe between Postal Layout and Ambedkar Chowk, please take action immediately.",Public Health
"Kindly fix this problem, illegal burning of discarded rubber tires and wire cables at night along Temple Street, thick black toxic soot covering homes and clothes. Please send team as soon as possible.",Sanitation
"Someone burning plastic garbage in night time suffocating smoke at Ward 198, please take action immediately.",Sanitation
Streetlight has stopped working plunged the entire street into pitch darkness,Electricity
unhygenic foud stall causng stumach infaction near pedestrian subway 80 Feet Road,Public Health
Colony borewell motor spoiled please send mechanic urgently near overhead water tank for past one week.,Water
Open gym machines in garden are rusted and jammed not moving at all near Ramakrishna Puram main gate since yesterday.,Municipal Services
"On 6th cross avenue, electric wire is hanging very low anyone can get current shock. Kindly resolve.",Electricity
urgent electrik wir cut and hangin dngrously on stret Gandhi Gram near petrol pump,Electricity
Tap water is full yellow color cannot drink or use for cooking since two weeks behind Muncipal Community Hall. High danger.,Water
This is to report that there is a deep drain construction trench left abandoned without safety boards opposite railway station approach. This is water collecting inside and turning into stagnant breeding pool. Kindly take remedial action.,Drainage
"Municipal ward office staff not available during public complaint hours in Kuvempu Nagar, please take action immediately.",Municipal Services
"In Vinayaka Nagar Ward 119, shock is coming from street light pole when touching it very scary since two weeks. Very difficult situation.",Electricity
Kindly note that there is a drinking water pipeline fractured during JCB road excavation in Tilak Road Extension. This is huge volume of water flooding the colony street. Kindly take remedial action.,Water
"Due to tar washed away completely after recent downpour opposite government high school, it is creating hazardous slippery mud slush.",Roads
Open gym machines in garden are rusted and jammed not moving at all right in front of District Veterinary Hospital since two weeks.,Municipal Services
Overhead high tension power cable snapped and dangling near ground along Bypass Road.,Electricity
"In Kuvempu Nagar Ward 90, municipal ward office staff not available during public complaint hours since past 10 days. Very difficult situation.",Municipal Services
Drainage smell is terrible in our lane please clean the gutter at the entry of Kuvempu Nagar for past one week.,Drainage
"Sir, rain water has nowhere to go road becomes a river every small rain near railway level crossing. Nobody is responding.",Drainage
Citizens facing acute problem because there is a traffic signal lens covers broken with red and green lights showing together between Indira Gandhi Colony and Ambedkar Chowk. This is extreme confusion at major intersection. Kindly take remedial action.,Traffic
"Municipal ward office staff not available during public complaint hours at Ward 167, please take action immediately.",Municipal Services
urgent voltaj fluktuashun damging tv and ac kindly check Netaji Nagar near temple road,Electricity
"Pothole depth is more than 1 foot any time major accident can happen on 6th Cross Avenue, Ward 75 after last rain.",Roads
urgent stry dogs bitng peple agreshive paks kindly cach Vivekananda Colony near bus terminus,Public Health
"On 6th cross avenue, hotel throwing rotten food and chicken waste attracting flies and rats. Kindly resolve.",Public Health
