complaint,department
Large pothole on the main road near the bus stand causing heavy bike skidding,Roads
The road surface is badly damaged after recent asphalt peeling,Roads
Several potholes have appeared after the rain on 4th cross avenue,Roads
Dangerous road cave-in observed near the central flyover pillar,Roads
Uneven road leveling and loose gravel leading to frequent skidding of two-wheelers,Roads
Speed breaker is broken and sharp metal rods are exposed on school road,Roads
Deep trench dug for utility cables was left unfilled on 12th main road,Roads
Asphalt has completely eroded exposing sharp rocks across the boulevard,Roads
Missing storm cover has created an open crater in the middle of the road lane,Roads
Road depression is causing heavy vehicles to tilt dangerously near the market,Roads
Massive crater formed right at the highway entry ramp,Roads
Cracked and sunken road patch is damaging car tires and suspension,Roads
Tar has melted and deformed into deep ridges during summer heat,Roads
Pothole cluster spanning the entire width of the lane outside hospital gate,Roads
Temporary road patch has caved in after rainfall creating a hazard,Roads
Sharp road drop-off on the shoulder without any barrier or warning sign,Roads
Multiple craters on the inner ring road slowing down peak hour traffic,Roads
Footpath tiles are broken and jutting out on the pedestrian sidewalk,Roads
Concrete road joint has widened creating a 4-inch gap across the road,Roads
Freshly laid bitumen washed away leaving large ruts and depressions,Roads
Open pit on the service road without any barricade or reflection tape,Roads
Sunken trench running across the residential street damaging vehicles,Roads
Road edge collapsed into the adjacent ditch after heavy downpour,Roads
Gravel scattered everywhere after incomplete road surfacing work,Roads
Severe rutting and corrugated road surface near the toll plaza,Roads
Pothole filled with rainwater making it an invisible trap at night,Roads
Missing paver blocks in front of the metro station entrance,Roads
Road surface is sinking near the underground drainage manhole,Roads
Large fissure appeared across the lane after minor tremor,Roads
Broken curb stones scattered across the roadway obstructing traffic,Roads
There is no water supply in our street for the past 48 hours,Water
Water pipe is leaking outside my house and clean drinking water is wasting,Water
The drinking water looks contaminated and has a foul chemical odor,Water
Underground main water pipeline has burst flooding the street with tap water,Water
Extremely low water pressure in our apartment complex since Monday,Water
Tap water has yellowish tint and muddy residue settling at the bottom,Water
Public drinking water fountain near railway station is broken and running continuously,Water
Water supply valve in the street corner is jammed in closed position,Water
Sewage smell is coming from municipal drinking water pipes,Water
Water pipeline joint is spraying high pressure water onto the road,Water
No municipal drinking water tanker has visited our layout this week,Water
Water meter on the distribution line is broken and leaking continuously,Water
Rust and metallic particles detected in the residential tap water,Water
Air lock in main water distribution line preventing water from reaching top floors,Water
Underground water pipe leaking underneath the pavement causing soil erosion,Water
Overhead municipal water storage tank is overflowing without automated cutoff,Water
Saline hard water being pumped into our residential supply line,Water
Water supply pipe broken during construction work by third party contractor,Water
Water quality in ward 14 smells like chlorine overdose causing skin irritation,Water
Public borewell hand pump handle is detached and unusable,Water
Supply pipe ruptured near temple road leading to severe drinking water shortage,Water
Contaminated water reported with worm sightings in sector 5 taps,Water
Water supply schedule erratic with supply only at 3 AM for 15 minutes,Water
Main distribution valve leaking gallons of treated water into storm drain,Water
Turbid brown water discharging from domestic connections across our block,Water
Municipal water pipe damaged near grocery shop causing puddle on road,Water
Drinking water reservoir boundary fence collapsed leaving water vulnerable to pollution,Water
Water tanker supplying murky and unfiltered water to our colony,Water
Submerged pipeline joint leaking treated water near canal bridge,Water
Inadequate water supply pressure failing to reach ground level sumps,Water
Streetlight has stopped working plunged the entire street into pitch darkness,Electricity
The electrical pole near the market is tilted dangerously and may collapse,Electricity
Sparking and loud cracking sounds coming from the corner distribution transformer,Electricity
Live electrical wire snapped and is dangling dangerously near the footpath,Electricity
Frequent voltage fluctuations are burning out home appliances in our colony,Electricity
Overhead power cables hanging too low and touching passing commercial trucks,Electricity
Junction feeder box door is broken and high voltage components are exposed to rain,Electricity
Streetlights remain switched on during bright daylight for the third consecutive week,Electricity
Power outage in sector 9 lasting more than 8 hours without prior notice,Electricity
Underground power cable caught fire emitting toxic smoke near shopping complex,Electricity
Electric meter box in our lane is smoking and emitting burning plastic smell,Electricity
Tree branch has fallen on 11kV power line causing localized blackout,Electricity
Streetlight pole has electric current leakage giving mild shocks to pedestrians,Electricity
Old rusted electrical pillar needs immediate replacement before monsoon,Electricity
