complaint,department
"Massive accumulation of single-use plastic cups and plates after festival outside Govt Primary School, no sanitation crew deployed for cleanup post-event.",Sanitation
"In Tilak Road Extension Ward 2, transformer giving big blast sound and sparks falling down from last 3 days. Very difficult situation.",Electricity
"In Shastri Nagar Ward 22, hotel throwing rotten food and chicken waste attracting flies and rats from last 3 days. Very difficult situation.",Public Health
"Sir, park swings are broken iron slide has sharp cut children getting hurt behind Govt Girls Hostel. Nobody is responding.",Municipal Services
"In Postal Layout Ward 75, tap water is full yellow color cannot drink or use for cooking after last rain. Very difficult situation.",Water
Public park gate is broken drunkards entering at night and breaking benches since two weeks on 6th Cross Avenue. High danger.,Municipal Services
"Autos and taxis blocking the entire left turn free lane close to bus stop, please take action immediately.",Traffic
Extremely hazardous condition: transformer oil leaking heavily onto the public pavement at Old Post Office Junction! It is transformer overheating and producing burning smell. Immediate action requested.,Electricity
Uncovered stormwater drain running parallel to market footpath behind Fire Brigade Station.,Drainage
Drinking water line damaged during road work please repair immediately for past one week at Ward 42. High danger.,Water
Road is fully damaged and full of big potholes since morning along 6th Cross Avenue. High danger.,Roads
"Sir, people throwing garbage bags on vacant plot creating mini dumpyard near Shastri Nagar main gate. Nobody is responding.",Sanitation
sewer lin blokd toilts runing bckward kindly clen in Kasturba Extension ward 100,Drainage
"Kindly fix this problem, traffic signal timer stuck on permanent green on one side and red on other on Cross Road 4, causing 45-minute standstill and road rage among commuters. Please send team as soon as possible.",Traffic
Attention Municipal Commissioner: culvert under link road collapsed and choked with construction debris near Kuvempu Nagar main gate! It is stormwater unable to pass and creating vast upstream lake. Immediate action requested.,Drainage
"Drain silt was cleaned and left on road now all gone back in drain close to flyover landing, please take action immediately.",Drainage
"Sir, park swings are broken iron slide has sharp cut children getting hurt near weekly bazaar ground. Nobody is responding.",Municipal Services
urgent watr loging knee dep aftr smal rain no drange outlt Teachers Colony near district library,Drainage
"At ward 164, worst road condition not even able to walk properly. Kindly resolve.",Roads
Water tanker driver demanding extra money and not giving full water since morning behind ESI Hospital. High danger.,Water
"Crematorium furnace not working people waiting with dead body in grief near weekly bazaar ground, please take action immediately.",Municipal Services
"Right in front of fire brigade station, worst road condition not even able to walk properly. Kindly resolve.",Roads
Dirty open drain next to school children getting sick frequently from last 3 days at the entry of Postal Layout. High danger.,Public Health
trafic signl not workin huge jam at chawk in Bhavani Nagar ward 97,Traffic
"Sir, anti-larval spray not done in our ward malaria spreading fast opposite bus terminus. Nobody is responding.",Public Health
Anti-larval spray not done in our ward malaria spreading fast from last 3 days behind State Transport Depot. High danger.,Public Health
"Due to overhead high tension power cable snapped and dangling near ground at the entry of Teachers Colony, it is extreme electrocution danger to school students.",Electricity
"Right in front of ration shop, open slaughter of animals in street blood running on road very unhygienic. Kindly resolve.",Public Health
"Traffic police needed at circle during school hours heavy jam between Kasturba Extension and Indira Circle, please take action immediately.",Traffic
"On market road, ward 12, rain water has nowhere to go road becomes a river every small rain. Kindly resolve.",Drainage
Public toilet is filthy and overflowing nobody cleaning it since weeks since two weeks at Ward 195. High danger.,Public Health
"In Gandhi Gram Ward 162, garbage is not being lifted since one week huge smell coming every evening. Very difficult situation.",Sanitation
"Dear authority, hazardous biomedical waste including syringes and bandages dumped in open plot near pedestrian subway, severe biohazard threat to neighborhood children. Please send team as soon as possible.",Sanitation
Overflowing garbage pile blocking access to government school main gate near central vegetable market.,Sanitation
"At station t-junction, hotel throwing rotten food and chicken waste attracting flies and rats. Kindly resolve.",Public Health
"Sewage line is choked toilets are overflowing in ground floor flats after last rain on 4th Cross, 2nd Main, Ward 76. High danger.",Drainage
Attention Municipal Commissioner: stagnant green slime water pooled in empty construction basement near temple road! It is acting as massive breeding nursery for vector-borne disease mosquitoes. Immediate action requested.,Public Health
"Near pedestrian subway, worst road condition not even able to walk properly. Kindly resolve.",Roads
Underpass is flooded with dirty water cars getting stuck in water at Old Post Office Junction every evening.,Drainage
This is to report that there is a door-to-door waste collection vehicle has not visited the ward for two weeks in Santosh Nagar. This is residents forced to pile up household garbage on street corners. Kindly take remedial action.,Sanitation
"Municipal garbage collection dumper bin overflowing for over ten days in Santosh Nagar, stinking waste spilling onto footpath and blocking pedestrian walk.",Sanitation
"Sir, drinking water is coming dirty and smelling like drainage on 6th Cross Avenue, Ward 185. Nobody is responding.",Water
Power cut since morning no current in our whole colony from last 3 days at Ward 190. High danger.,Electricity
Critical danger: traffic signal lens covers broken with red and green lights showing together close to post office! It is extreme confusion at major intersection. Immediate action requested.,Traffic
Dumped rotten grain and spoiled potatoes producing noxious fermentation gases near Defence Enclave main gate.,Public Health
Kindly note that there is a sewer cleaning suction jetting machine needed for persistent pipeline blockage at Station T-Junction. This is manual rodding failed to clear compacted silt. Kindly take remedial action.,Drainage
urgent drnking watr not comming in taps since 3 days Siddhartha Nagar near police station,Water
